"gender","height","weight","shoeSize","shoeNums","schoolYear","pets","siblings","speed","cash","sleep","ageMother","ageFather","random","love","charity"
"female",72,174,11,17,"Sophomore",4,5,80,3,7,42,36,6,"one",25
"female",67,140,8.5,100,"Sophomore",0,1,110,76,8.5,55,61,6,"dozens",90
"female",64,107,6,25,"Sophomore",5,2,100,75,7.5,58,60,4,"few",75
"male",70,185,11,7,"Sophomore",3,2,95,35,7,53,55,8,"few",60
"female",62,133,7,8,"Sophomore",30,1,195,18,6,41,49,6,"hundreds",70
"female",65,136,6.5,10,"Freshman",2,2,80,20,7,51,49,3,"one",100
"male",67,162,10,20,"Sophomore",0,2,115,50,5,38,45,10,"few",70
"male",71,165,10.5,11,"Sophomore",0,1,120,10,7,53,56,5,"few",50
"male",72,135,10.5,5,"Freshman",0,2,80,70,8,52,53,7,"dozens",65
"female",66,148,8.5,15,"Junior",0,1,85,20,7,55,58,8,"one",10
"male",67,220,11,6,"Junior",6,2,104,5,6,42,44,4,"none",3
"female",64,177,8.5,4,"Junior",0,1,90,65,6,38,49,9,"few",50
"female",62,119,6,20,"Sophomore",1,2,60,40,8,54,53,3,"few",40
"female",69,150,8,10,"Sophomore",3,2,80,60,6.5,42,44,8,"millions",50
"female",65,150,8.5,10,"Sophomore",1,6,30,1000,6,42,53,5,"one",50
"female",68,140,9,25,"Freshman",3,2,105,40,6,50,45,7,"few",50
"male",75,175,11,1,"Sophomore",0,4,135,0,7,46,57,3,"one",90
"male",72,150,11.5,4,"Senior",1,2,90,10,5,54,54,6,"thousands",0
"female",64,127,8,11,"Junior",0,1,90,80,6.5,47,55,7,"few",40
"female",63,125,7,35,"Sophomore",5,2,90,40,8,52,57,6,"few",50
"male",69,186,10,5,"Sophomore",5,3,80,50,7.5,65,65,5,"dozens",30
"male",73,215,11,8,"Sophomore",5,1,90,130,7.5,44,51,6,"one",30
"male",71,160,10.5,6,"Sophomore",0,2,80,60,8.5,49,55,3,"few",50
"female",64,141,8.5,11,"Freshman",0,1,85,40,7.5,52,53,6,"few",20
"female",64,125,7,15,"Senior",2,3,125,3,7,49,54,2,"few",25
"female",70,140,10,12,"Sophomore",0,2,90,10,7.5,53,53,2,"few",100
"male",74,240,12,6,"Junior",2,2,100,24,6.5,51,52,3,"few",75
"male",71,185,10.5,7,"Sophomore",1,2,122,45,6.5,55,56,3,"few",70
"female",72,236,11,25,"Junior",8,0,104,12,7,44,52,7,"one",75
"female",62,140,8,5,"Junior",3,1,75,30,5.5,50,52,3,"few",50
"male",72,169,10,17,"Sophomore",0,1,122,1000,4,55,53,8,"few",14
"male",73,295,12,5,"Sophomore",4,1,100,50,7,50,50,5,"few",69
"female",69,126,8,17,"Sophomore",2,2,90,0,8,50,54,7,"one",10
"female",62,110,6.5,17,"Freshman",1,2,110,35,7,53,54,2,"thousands",65
"male",75,190,13,7,"Junior",2,1,90,12,7,52,54,9,"millions",100
"female",61,125,7.5,30,"Senior",2,0,105,20,7.5,60,63,2,"few",75
"female",63,127,7,15,"Sophomore",7,2,100,300,7.5,50,52,3,"one",75
"male",67,261,10.5,4,"Sophomore",10,2,94,0,7,45,47,7,"dozens",50
"female",63,99,7.5,16,"Sophomore",0,1,56,102,6.5,41,48,4,"millions",20
"male",72,160,11,8,"Sophomore",0,3,93,17,7.5,52,55,3,"few",50
"female",64,115,8.5,7,"Sophomore",1,3,100,20,6,43,47,9,"dozens",75
"male",68,140,9.5,3,"Sophomore",0,1,80,30,8,47,50,7,"one",50
"female",65,180,9,30,"Sophomore",1,4,90,0,6,53,53,4,"one",100
"female",67,160,9,20,"Sophomore",1,3,90,5,7,56,57,4,"dozens",50
"male",72,155,12,5,"Freshman",1,2,100,12,7,47,55,7,"few",75
"female",65,113,8,12,"Junior",1,1,50,18,8,51,51,7,"one",0
"female",64,145,7.5,9,"Junior",3,1,80,18,8,51,53,2,"none",70
"female",67,125,8,8,"Sophomore",0,3,60,20,8.5,51,53,8,"few",50
"male",73,175,10.5,8,"Sophomore",0,4,125,300,8,46,43,6,"few",25
"female",66,140,9.5,20,"Sophomore",3,1,80,8,9,44,45,6,"few",66
"male",68,150,9.5,45,"Sophomore",0,0,80,200,8,50,51,1,"few",20
"female",66,136,7.5,25,"Sophomore",30,1,138,0,8,43,49,7,"few",100
"male",68,132,9.5,7,"Sophomore",0,1,100,20,7.5,49,50,3,"thousands",50
"female",63,117,7.5,8,"Sophomore",1,3,85,200,7.5,48,52,3,"few",75
"male",74,170,12,10,"Sophomore",1,2,104,5,6,45,46,4,"one",100
"female",60,121,5.5,16,"Sophomore",5,0,90,65,8,54,56,7,"hundreds",100
"male",72,162,13,7,"Junior",6,1,155,100,5.5,48,55,8,"one",100
"male",69,191,10.5,6,"Sophomore",1,1,100,50,7,46,47,7,"millions",50
"female",63,125,7.5,15,"Sophomore",6,4,85,5,8,41,47,9,"few",75
